ID,s_1g_ppl,total_syl,average_syl,mlu_words,verb_utt,dss,ipsyn_total,word_errors,total_error
132,20.5553,469,1.0173536,6.435,1.194,11.76,67,0,2
133,24.9411,631,1.1431159,7,1.26,13.34,86,0,14
134,25.2996,772,1.0279627,6.73,1.167,13.12,95,0,44
135,20.9089,451,1.1163366,5.531,1.047,8.46,73,4,7
136,22.2287,572,1.1128405,7.328,1.134,11.84,87,0,9
137,30.9015,657,1.2907662,8.339,1.482,9.14,91,0,19
138,22.9255,484,1.1950617,7.389,1.333,9.65,91,0,14
139,19.7583,932,1.1269649,7.52,1.238,11.56,96,0,19
140,26.3976,749,1.1870048,9.4,1.617,10.52,88,0,11
141,19.5197,656,1.1408696,7.833,1.232,12.32,87,0,18
142,25.6534,320,1.0810811,5.451,1.451,11.17,83,0,9
143,72.9715,541,1.0973631,7.281,1.14,13.57,77,0,19
144,23.7159,1105,1.1321721,6.439,1.179,8.84,83,0,23
145,19.6762,543,0.9748653,7.065,1.194,11.72,81,0,9
146,21.4709,716,1.081571,7.797,1.359,13.84,84,0,12
147,19.3798,538,1.1208333,7.068,1.153,12.92,84,1,15
148,119.719,573,1.047532,8.192,1.423,14.44,73,0,13
149,23.4621,763,1.1613394,7.159,1.268,12.44,94,0,13
150,23.5188,931,1.1030806,6.856,1.216,11.7,96,0,11
151,22.1288,487,1.0563991,6.113,1.113,10.46,84,0,8
152,222.876,474,1.025974,6.646,1.046,11.86,77,0,14
153,23.2121,598,1.0833333,5.976,1.098,9.2,71,0,16
154,21.5667,1248,1.1345455,7.528,1.285,13.22,93,0,25
155,24.5347,476,1.1638142,6.466,1.276,10.76,86,2,11
156,23.6932,1049,1.1527473,7.394,1.3,12.34,96,0,32
157,20.938,653,1.3272358,7.561,1.246,10.32,79,0,22
158,18.3869,366,1.2281879,4.836,0.891,6.61,65,0,12
159,19.0213,404,1.1444759,5.459,1.131,5.94,75,0,28
160,21.9131,377,0.9520202,6.018,1.091,13.48,77,0,13
161,23.5058,469,1.1113744,6.667,1.167,11.34,78,1,10
162,21.3389,470,1.1868687,7.385,1.404,10.14,81,0,2
163,22.6283,816,1.088,7.544,1.267,12.24,96,0,23
164,23.1688,938,1.2056555,7.469,1.302,13.4,96,0,24
165,32.9579,928,1.1836735,6.074,1.164,8.82,94,0,37
166,21.0807,964,1.1004566,7.798,1.245,12.06,97,0,20
167,20.3135,610,1.1131387,8,1.5,10.26,82,1,37
168,22.5867,952,1.2158365,7.933,1.371,11.82,98,0,24
169,26.7537,530,1.3383838,6.679,1.375,10.14,90,0,17
170,25.5331,773,1.0488467,7.833,1.298,14,95,0,18
171,24.1742,440,1.0653753,5.746,1.111,12.68,74,0,27
172,20.4403,641,1.1761468,7.314,1.2,12.78,88,0,10
173,26.3957,801,1.0942623,6.379,1.238,11.08,96,0,11
174,69.1224,513,1.1225383,7.696,1.232,10.4,84,0,20
175,25.2639,885,1.1160151,9.253,1.671,15.68,97,1,28
176,16.1751,429,1.1201044,5.871,0.355,5.75,52,0,7
177,23.0063,962,1.1760391,7.872,1.436,13.12,102,0,20
178,22.7935,993,1.0996678,6.735,1.137,10.14,71,0,21
179,21.2111,535,1.0963115,6.984,1.127,12.4,86,3,9
180,22.2482,1302,1.1656222,8.186,1.363,13.28,98,0,37
181,23.363,547,1.1255144,6.485,1.258,12.34,86,2,13
182,24.6116,893,1.1434059,9.289,1.395,13.04,92,0,38
183,26.5664,487,1.1093394,6.079,1.175,7.06,83,0,9
184,22.4873,944,1.1079812,7.649,1.245,9.9,93,5,27
185,23.6553,567,1.1161417,7.7,1.533,11.8,91,0,10
186,22.0329,711,1.2279793,8.029,1.357,9.98,96,0,17
187,19.2562,516,1.2585366,6.206,1.27,9.06,93,0,17
188,19.155,364,1.205298,5.226,1.094,5.94,72,0,23
189,19.8655,851,1.1770401,7.411,1.289,12.36,92,0,22
190,21.9556,722,1.1645161,8.937,1.508,14.28,87,0,17
191,23.3134,600,1.2145749,6.315,1.315,8.96,90,0,12
192,23.1193,490,1,6.431,1.169,13.16,84,0,20
193,20.3696,579,1.1007605,7.294,1.235,12.08,83,0,4
194,21.8254,699,1.2328042,6.986,1.329,8.36,88,0,18
195,20.0998,467,1.1588089,5.847,1.186,5.34,75,0,14
196,21.0014,494,1.2019465,5.932,0.949,9.3,72,0,5
197,19.4043,912,1.14,7.182,1.141,12.92,98,0,40
198,19.3574,505,1.1826698,6.831,1.254,12.46,82,0,12
199,18.9932,718,1.1674797,7.767,1.342,12.76,97,0,8
200,21.3513,415,1.0427136,6.365,1.327,11.24,82,0,8
201,60.4971,584,1.145098,6.914,1.086,9.22,90,0,10
202,19.9908,539,1.1820175,5.89,0.973,4.76,78,0,39
203,21.5658,1285,1.2439497,7.103,1.295,11,89,0,36
204,21.2782,500,1.2077295,7.37,1.37,8.67,95,0,28
205,25.9245,695,1.2344583,5.097,1,7.22,94,0,30
206,18.6032,488,1.2642487,6.84,1.24,7.34,81,0,5
207,23.8775,545,1.1571125,6.5,1.171,8.86,92,0,35
208,19.6369,537,1.2576112,7.472,1.226,10.72,83,0,12
209,18.401,475,1.128266,6.702,1.123,12.16,80,0,8
210,20.5496,730,1.1793215,7.795,1.356,11.84,92,0,14
211,20.5012,831,0.9987981,7.17,1.15,12.02,83,0,38
212,19.5055,852,1.1983122,8,1.185,13.44,90,0,31
213,21.665,653,1.2729045,6.573,1.253,7.88,90,0,12
214,20.2382,343,0.9527778,5.783,1.25,9.86,75,0,8
215,83.8411,950,1.120283,6.76,1.038,12.26,86,0,12
216,22.5795,606,1.1018182,8.016,1.475,13.46,91,0,17
217,24.6593,934,1.0835267,6.908,1.367,13.14,94,0,23
218,21.0883,487,1.1351981,6.237,1.169,6.85,81,0,11
219,22.0505,433,1.2336182,5.796,1.167,10.86,76,0,5
220,22.2955,1099,1.2224694,7.718,1.309,12.16,103,0,24
221,23.9454,408,0.9668246,6.947,1.368,15.33,82,0,18
222,17.4378,555,1.3405797,6.895,1.211,7.18,81,0,5
223,19.669,338,1.0903226,4.625,1.094,7.66,64,0,1
224,23.9659,973,1.2769029,7.835,1.44,8.5,93,0,26
225,23.2434,440,0.9322034,6.294,1.25,11.16,78,1,25
